,feature_image,label_image
5391,Features_v2.358.tif,Labels_v2.358.tif
4766,Features_v2.534.tif,Labels_v2.534.tif
5668,Features_v2.135.tif,Labels_v2.135.tif
4032,Features_v2.313.tif,Labels_v2.313.tif
2145,Features.391.tif,Labels.391.tif
6433,Features_v2.882.tif,Labels_v2.882.tif
3430,Features.552.tif,Labels.552.tif
529,Features.777.tif,Labels.777.tif
2998,Features.191.tif,Labels.191.tif
2057,Features.105.tif,Labels.105.tif
4621,Features_v2.265.tif,Labels_v2.265.tif
2787,Features.300.tif,Labels.300.tif
622,Features.1020.tif,Labels.1020.tif
4076,Features_v2.9.tif,Labels_v2.9.tif
5093,Features_v2.342.tif,Labels_v2.342.tif
2668,Features.604.tif,Labels.604.tif
822,Features.257.tif,Labels.257.tif
5864,Features_v2.190.tif,Labels_v2.190.tif
5981,Features_v2.746.tif,Labels_v2.746.tif
6180,Features_v2.145.tif,Labels_v2.145.tif
5034,Features_v2.425.tif,Labels_v2.425.tif
2035,Features.995.tif,Labels.995.tif
752,Features.162.tif,Labels.162.tif
5254,Features_v2.646.tif,Labels_v2.646.tif
1262,Features.935.tif,Labels.935.tif
5062,Features_v2.772.tif,Labels_v2.772.tif
5580,Features_v2.511.tif,Labels_v2.511.tif
6040,Features_v2.202.tif,Labels_v2.202.tif
4483,Features_v2.652.tif,Labels_v2.652.tif
3331,Features.428.tif,Labels.428.tif
1403,Features.927.tif,Labels.927.tif
226,Features.992.tif,Labels.992.tif
5753,Features_v2.810.tif,Labels_v2.810.tif
6321,Features_v2.857.tif,Labels_v2.857.tif
5130,Features_v2.28.tif,Labels_v2.28.tif
434,Features.49.tif,Labels.49.tif
2133,Features.374.tif,Labels.374.tif
2562,Features.896.tif,Labels.896.tif
714,Features.1131.tif,Labels.1131.tif
1249,Features.957.tif,Labels.957.tif
4765,Features_v2.829.tif,Labels_v2.829.tif
1157,Features.1040.tif,Labels.1040.tif
1516,Features.928.tif,Labels.928.tif
5217,Features_v2.1015.tif,Labels_v2.1015.tif
554,Features.352.tif,Labels.352.tif
4208,Features_v2.969.tif,Labels_v2.969.tif
3348,Features.1052.tif,Labels.1052.tif
213,Features.9.tif,Labels.9.tif
4182,Features_v2.761.tif,Labels_v2.761.tif
3970,Features_v2.210.tif,Labels_v2.210.tif
2087,Features.216.tif,Labels.216.tif
3653,Features_v2.784.tif,Labels_v2.784.tif
3377,Features.579.tif,Labels.579.tif
2125,Features.1033.tif,Labels.1033.tif
370,Features.849.tif,Labels.849.tif
5184,Features_v2.653.tif,Labels_v2.653.tif
3608,Features_v2.491.tif,Labels_v2.491.tif
5044,Features_v2.482.tif,Labels_v2.482.tif
3803,Features_v2.553.tif,Labels_v2.553.tif
1771,Features.8.tif,Labels.8.tif
5222,Features_v2.570.tif,Labels_v2.570.tif
6228,Features_v2.1054.tif,Labels_v2.1054.tif
360,Features.1106.tif,Labels.1106.tif
3304,Features.1013.tif,Labels.1013.tif
1643,Features.389.tif,Labels.389.tif
4869,Features_v2.760.tif,Labels_v2.760.tif
5074,Features_v2.113.tif,Labels_v2.113.tif
3577,Features_v2.855.tif,Labels_v2.855.tif
1490,Features.5.tif,Labels.5.tif
6348,Features_v2.684.tif,Labels_v2.684.tif
3718,Features_v2.232.tif,Labels_v2.232.tif
6057,Features_v2.1001.tif,Labels_v2.1001.tif
3998,Features_v2.640.tif,Labels_v2.640.tif
1899,Features.457.tif,Labels.457.tif
5643,Features_v2.282.tif,Labels_v2.282.tif
173,Features.636.tif,Labels.636.tif
5568,Features_v2.395.tif,Labels_v2.395.tif
6337,Features_v2.52.tif,Labels_v2.52.tif
6085,Features_v2.359.tif,Labels_v2.359.tif
3947,Features_v2.764.tif,Labels_v2.764.tif
3818,Features_v2.543.tif,Labels_v2.543.tif
1411,Features.886.tif,Labels.886.tif
6532,Features_v2.678.tif,Labels_v2.678.tif
135,Features.94.tif,Labels.94.tif
6617,Features_v2.1039.tif,Labels_v2.1039.tif
685,Features.420.tif,Labels.420.tif
2197,Features.487.tif,Labels.487.tif
5140,Features_v2.329.tif,Labels_v2.329.tif
2004,Features.899.tif,Labels.899.tif
6345,Features_v2.632.tif,Labels_v2.632.tif
1203,Features.974.tif,Labels.974.tif
5851,Features_v2.285.tif,Labels_v2.285.tif
2228,Features.11.tif,Labels.11.tif
4193,Features_v2.77.tif,Labels_v2.77.tif
6414,Features_v2.597.tif,Labels_v2.597.tif
6503,Features_v2.913.tif,Labels_v2.913.tif
4332,Features_v2.511.tif,Labels_v2.511.tif
6518,Features_v2.349.tif,Labels_v2.349.tif
5726,Features_v2.301.tif,Labels_v2.301.tif
2116,Features.433.tif,Labels.433.tif
21,Features.1157.tif,Labels.1157.tif
5962,Features_v2.778.tif,Labels_v2.778.tif
2640,Features.750.tif,Labels.750.tif
6027,Features_v2.729.tif,Labels_v2.729.tif
2279,Features.906.tif,Labels.906.tif
433,Features.347.tif,Labels.347.tif
2948,Features.439.tif,Labels.439.tif
3488,Features.19.tif,Labels.19.tif
4046,Features_v2.0.tif,Labels_v2.0.tif
5573,Features_v2.383.tif,Labels_v2.383.tif
4364,Features_v2.474.tif,Labels_v2.474.tif
2369,Features.836.tif,Labels.836.tif
3054,Features.287.tif,Labels.287.tif
5434,Features_v2.858.tif,Labels_v2.858.tif
553,Features.1252.tif,Labels.1252.tif
1741,Features.681.tif,Labels.681.tif
2436,Features.697.tif,Labels.697.tif
4749,Features_v2.258.tif,Labels_v2.258.tif
2778,Features.954.tif,Labels.954.tif
3996,Features_v2.996.tif,Labels_v2.996.tif
107,Features.1088.tif,Labels.1088.tif
2266,Features.115.tif,Labels.115.tif
636,Features.754.tif,Labels.754.tif
2079,Features.773.tif,Labels.773.tif
2663,Features.475.tif,Labels.475.tif
4842,Features_v2.170.tif,Labels_v2.170.tif
2757,Features.499.tif,Labels.499.tif
5380,Features_v2.623.tif,Labels_v2.623.tif
4410,Features_v2.563.tif,Labels_v2.563.tif
1693,Features.245.tif,Labels.245.tif
4456,Features_v2.119.tif,Labels_v2.119.tif
5405,Features_v2.862.tif,Labels_v2.862.tif
6299,Features_v2.565.tif,Labels_v2.565.tif
6092,Features_v2.435.tif,Labels_v2.435.tif
810,Features.266.tif,Labels.266.tif
1638,Features.643.tif,Labels.643.tif
1241,Features.275.tif,Labels.275.tif
2153,Features.1130.tif,Labels.1130.tif
4226,Features_v2.913.tif,Labels_v2.913.tif
5111,Features_v2.662.tif,Labels_v2.662.tif
5598,Features_v2.630.tif,Labels_v2.630.tif
1056,Features.695.tif,Labels.695.tif
5795,Features_v2.539.tif,Labels_v2.539.tif
3423,Features.634.tif,Labels.634.tif
3106,Features.86.tif,Labels.86.tif
87,Features.258.tif,Labels.258.tif
631,Features.1034.tif,Labels.1034.tif
4444,Features_v2.27.tif,Labels_v2.27.tif
3453,Features.440.tif,Labels.440.tif
1022,Features.1088.tif,Labels.1088.tif
222,Features.493.tif,Labels.493.tif
5729,Features_v2.355.tif,Labels_v2.355.tif
4707,Features_v2.723.tif,Labels_v2.723.tif
4381,Features_v2.699.tif,Labels_v2.699.tif
982,Features.285.tif,Labels.285.tif
3368,Features.7.tif,Labels.7.tif
4396,Features_v2.160.tif,Labels_v2.160.tif
5226,Features_v2.684.tif,Labels_v2.684.tif
1051,Features.291.tif,Labels.291.tif
4216,Features_v2.264.tif,Labels_v2.264.tif
3752,Features_v2.815.tif,Labels_v2.815.tif
717,Features.654.tif,Labels.654.tif
6023,Features_v2.11.tif,Labels_v2.11.tif
4854,Features_v2.665.tif,Labels_v2.665.tif
5700,Features_v2.966.tif,Labels_v2.966.tif
2572,Features.698.tif,Labels.698.tif
2598,Features.677.tif,Labels.677.tif
5932,Features_v2.324.tif,Labels_v2.324.tif
5694,Features_v2.697.tif,Labels_v2.697.tif
2498,Features.792.tif,Labels.792.tif
3604,Features_v2.54.tif,Labels_v2.54.tif
930,Features.413.tif,Labels.413.tif
2110,Features.626.tif,Labels.626.tif
3250,Features.183.tif,Labels.183.tif
6165,Features_v2.703.tif,Labels_v2.703.tif
5273,Features_v2.587.tif,Labels_v2.587.tif
1496,Features.368.tif,Labels.368.tif
2225,Features.133.tif,Labels.133.tif
466,Features.2.tif,Labels.2.tif
1689,Features.110.tif,Labels.110.tif
210,Features.101.tif,Labels.101.tif
4554,Features_v2.198.tif,Labels_v2.198.tif
6000,Features_v2.318.tif,Labels_v2.318.tif
6072,Features_v2.375.tif,Labels_v2.375.tif
3267,Features.882.tif,Labels.882.tif
4531,Features_v2.963.tif,Labels_v2.963.tif
5180,Features_v2.1032.tif,Labels_v2.1032.tif
2792,Features.910.tif,Labels.910.tif
3667,Features_v2.204.tif,Labels_v2.204.tif
3411,Features.1002.tif,Labels.1002.tif
2705,Features.1015.tif,Labels.1015.tif
1857,Features.650.tif,Labels.650.tif
4437,Features_v2.345.tif,Labels_v2.345.tif
5228,Features_v2.460.tif,Labels_v2.460.tif
5991,Features_v2.130.tif,Labels_v2.130.tif
2629,Features.190.tif,Labels.190.tif
5467,Features_v2.753.tif,Labels_v2.753.tif
4158,Features_v2.671.tif,Labels_v2.671.tif
3479,Features.921.tif,Labels.921.tif
2021,Features.63.tif,Labels.63.tif
990,Features.407.tif,Labels.407.tif
6536,Features_v2.703.tif,Labels_v2.703.tif
5530,Features_v2.690.tif,Labels_v2.690.tif
4211,Features_v2.346.tif,Labels_v2.346.tif
1166,Features.837.tif,Labels.837.tif
4680,Features_v2.884.tif,Labels_v2.884.tif
5754,Features_v2.753.tif,Labels_v2.753.tif
3703,Features_v2.1047.tif,Labels_v2.1047.tif
4266,Features_v2.834.tif,Labels_v2.834.tif
5818,Features_v2.576.tif,Labels_v2.576.tif
45,Features.659.tif,Labels.659.tif
1256,Features.356.tif,Labels.356.tif
5320,Features_v2.922.tif,Labels_v2.922.tif
1534,Features.844.tif,Labels.844.tif
5121,Features_v2.641.tif,Labels_v2.641.tif
5631,Features_v2.51.tif,Labels_v2.51.tif
1739,Features.871.tif,Labels.871.tif
3709,Features_v2.774.tif,Labels_v2.774.tif
5959,Features_v2.506.tif,Labels_v2.506.tif
4337,Features_v2.896.tif,Labels_v2.896.tif
5360,Features_v2.616.tif,Labels_v2.616.tif
907,Features.1193.tif,Labels.1193.tif
5072,Features_v2.748.tif,Labels_v2.748.tif
5211,Features_v2.830.tif,Labels_v2.830.tif
1886,Features.704.tif,Labels.704.tif
1825,Features.703.tif,Labels.703.tif
4636,Features_v2.438.tif,Labels_v2.438.tif
5053,Features_v2.390.tif,Labels_v2.390.tif
3003,Features.364.tif,Labels.364.tif
3041,Features.813.tif,Labels.813.tif
4862,Features_v2.738.tif,Labels_v2.738.tif
927,Features.454.tif,Labels.454.tif
6113,Features_v2.381.tif,Labels_v2.381.tif
824,Features.540.tif,Labels.540.tif
268,Features.825.tif,Labels.825.tif
1784,Features.1085.tif,Labels.1085.tif
400,Features.1335.tif,Labels.1335.tif
6591,Features_v2.452.tif,Labels_v2.452.tif
2724,Features.1079.tif,Labels.1079.tif
5555,Features_v2.598.tif,Labels_v2.598.tif
5907,Features_v2.957.tif,Labels_v2.957.tif
6491,Features_v2.746.tif,Labels_v2.746.tif
3161,Features.219.tif,Labels.219.tif
5776,Features_v2.1002.tif,Labels_v2.1002.tif
4217,Features_v2.590.tif,Labels_v2.590.tif
2553,Features.1074.tif,Labels.1074.tif
185,Features.1023.tif,Labels.1023.tif
1035,Features.84.tif,Labels.84.tif
5970,Features_v2.295.tif,Labels_v2.295.tif
1194,Features.375.tif,Labels.375.tif
248,Features.323.tif,Labels.323.tif
5301,Features_v2.585.tif,Labels_v2.585.tif
776,Features.292.tif,Labels.292.tif
6565,Features_v2.1002.tif,Labels_v2.1002.tif
5170,Features_v2.59.tif,Labels_v2.59.tif
5428,Features_v2.391.tif,Labels_v2.391.tif
3218,Features.305.tif,Labels.305.tif
6411,Features_v2.140.tif,Labels_v2.140.tif
5435,Features_v2.152.tif,Labels_v2.152.tif
4405,Features_v2.909.tif,Labels_v2.909.tif
3960,Features_v2.235.tif,Labels_v2.235.tif
3342,Features.735.tif,Labels.735.tif
1538,Features.373.tif,Labels.373.tif
6006,Features_v2.625.tif,Labels_v2.625.tif
3387,Features.1029.tif,Labels.1029.tif
684,Features.674.tif,Labels.674.tif
3808,Features_v2.700.tif,Labels_v2.700.tif
5452,Features_v2.610.tif,Labels_v2.610.tif
5179,Features_v2.259.tif,Labels_v2.259.tif
345,Features.928.tif,Labels.928.tif
3239,Features.297.tif,Labels.297.tif
1469,Features.299.tif,Labels.299.tif
1928,Features.1095.tif,Labels.1095.tif
3350,Features.763.tif,Labels.763.tif
2020,Features.136.tif,Labels.136.tif
4632,Features_v2.243.tif,Labels_v2.243.tif
6495,Features_v2.385.tif,Labels_v2.385.tif
5711,Features_v2.991.tif,Labels_v2.991.tif
5735,Features_v2.802.tif,Labels_v2.802.tif
1039,Features.22.tif,Labels.22.tif
1890,Features.500.tif,Labels.500.tif
244,Features.1186.tif,Labels.1186.tif
450,Features.164.tif,Labels.164.tif
4906,Features_v2.298.tif,Labels_v2.298.tif
1346,Features.43.tif,Labels.43.tif
2893,Features.291.tif,Labels.291.tif
4330,Features_v2.352.tif,Labels_v2.352.tif
1675,Features.14.tif,Labels.14.tif
4812,Features_v2.212.tif,Labels_v2.212.tif
2377,Features.774.tif,Labels.774.tif
2001,Features.66.tif,Labels.66.tif
2590,Features.765.tif,Labels.765.tif
2205,Features.987.tif,Labels.987.tif
4652,Features_v2.830.tif,Labels_v2.830.tif
3312,Features.161.tif,Labels.161.tif
4231,Features_v2.432.tif,Labels_v2.432.tif
401,Features.877.tif,Labels.877.tif
4167,Features_v2.598.tif,Labels_v2.598.tif
3132,Features.1101.tif,Labels.1101.tif
1373,Features.580.tif,Labels.580.tif
2370,Features.51.tif,Labels.51.tif
6388,Features_v2.295.tif,Labels_v2.295.tif
3692,Features_v2.174.tif,Labels_v2.174.tif
5761,Features_v2.503.tif,Labels_v2.503.tif
108,Features.957.tif,Labels.957.tif
5798,Features_v2.812.tif,Labels_v2.812.tif
530,Features.356.tif,Labels.356.tif
4753,Features_v2.1034.tif,Labels_v2.1034.tif
3015,Features.829.tif,Labels.829.tif
6196,Features_v2.261.tif,Labels_v2.261.tif
5611,Features_v2.122.tif,Labels_v2.122.tif
1239,Features.1033.tif,Labels.1033.tif
1808,Features.387.tif,Labels.387.tif
1297,Features.846.tif,Labels.846.tif
3850,Features_v2.310.tif,Labels_v2.310.tif
2682,Features.73.tif,Labels.73.tif
3716,Features_v2.335.tif,Labels_v2.335.tif
1416,Features.144.tif,Labels.144.tif
2345,Features.892.tif,Labels.892.tif
1630,Features.373.tif,Labels.373.tif
2170,Features.437.tif,Labels.437.tif
3358,Features.1093.tif,Labels.1093.tif
3533,Features_v2.946.tif,Labels_v2.946.tif
4512,Features_v2.392.tif,Labels_v2.392.tif
247,Features.855.tif,Labels.855.tif
4045,Features_v2.594.tif,Labels_v2.594.tif
3095,Features.1194.tif,Labels.1194.tif
6422,Features_v2.101.tif,Labels_v2.101.tif
6419,Features_v2.117.tif,Labels_v2.117.tif
5465,Features_v2.997.tif,Labels_v2.997.tif
2947,Features.681.tif,Labels.681.tif
4272,Features_v2.294.tif,Labels_v2.294.tif
4695,Features_v2.941.tif,Labels_v2.941.tif
6060,Features_v2.628.tif,Labels_v2.628.tif
3664,Features_v2.688.tif,Labels_v2.688.tif
6266,Features_v2.136.tif,Labels_v2.136.tif
5006,Features_v2.316.tif,Labels_v2.316.tif
3194,Features.1338.tif,Labels.1338.tif
177,Features.876.tif,Labels.876.tif
3104,Features.836.tif,Labels.836.tif
4758,Features_v2.527.tif,Labels_v2.527.tif
2100,Features.510.tif,Labels.510.tif
5407,Features_v2.863.tif,Labels_v2.863.tif
5397,Features_v2.25.tif,Labels_v2.25.tif
4918,Features_v2.1057.tif,Labels_v2.1057.tif
416,Features.107.tif,Labels.107.tif
1536,Features.444.tif,Labels.444.tif
6205,Features_v2.571.tif,Labels_v2.571.tif
306,Features.740.tif,Labels.740.tif
6509,Features_v2.20.tif,Labels_v2.20.tif
6028,Features_v2.994.tif,Labels_v2.994.tif
2349,Features.725.tif,Labels.725.tif
4359,Features_v2.312.tif,Labels_v2.312.tif
2457,Features.1239.tif,Labels.1239.tif
665,Features.767.tif,Labels.767.tif
5250,Features_v2.533.tif,Labels_v2.533.tif
1766,Features.173.tif,Labels.173.tif
6107,Features_v2.864.tif,Labels_v2.864.tif
269,Features.89.tif,Labels.89.tif
4388,Features_v2.336.tif,Labels_v2.336.tif
4227,Features_v2.895.tif,Labels_v2.895.tif
2006,Features.607.tif,Labels.607.tif
6535,Features_v2.1026.tif,Labels_v2.1026.tif
5533,Features_v2.73.tif,Labels_v2.73.tif
2455,Features.626.tif,Labels.626.tif
3580,Features_v2.339.tif,Labels_v2.339.tif
1962,Features.1052.tif,Labels.1052.tif
3394,Features.887.tif,Labels.887.tif
731,Features.364.tif,Labels.364.tif
2217,Features.108.tif,Labels.108.tif
6172,Features_v2.341.tif,Labels_v2.341.tif
2166,Features.214.tif,Labels.214.tif
1182,Features.515.tif,Labels.515.tif
6003,Features_v2.910.tif,Labels_v2.910.tif
6540,Features_v2.113.tif,Labels_v2.113.tif
3948,Features_v2.435.tif,Labels_v2.435.tif
2744,Features.88.tif,Labels.88.tif
972,Features.0.tif,Labels.0.tif
3517,Features_v2.53.tif,Labels_v2.53.tif
4661,Features_v2.672.tif,Labels_v2.672.tif
74,Features.226.tif,Labels.226.tif
85,Features.1117.tif,Labels.1117.tif
2029,Features.759.tif,Labels.759.tif
5722,Features_v2.146.tif,Labels_v2.146.tif
5372,Features_v2.879.tif,Labels_v2.879.tif
6553,Features_v2.543.tif,Labels_v2.543.tif
5378,Features_v2.100.tif,Labels_v2.100.tif
3016,Features.470.tif,Labels.470.tif
1688,Features.1030.tif,Labels.1030.tif
5971,Features_v2.878.tif,Labels_v2.878.tif
356,Features.917.tif,Labels.917.tif
6149,Features_v2.737.tif,Labels_v2.737.tif
1507,Features.519.tif,Labels.519.tif
790,Features.969.tif,Labels.969.tif
4802,Features_v2.667.tif,Labels_v2.667.tif
6007,Features_v2.142.tif,Labels_v2.142.tif
490,Features.743.tif,Labels.743.tif
4873,Features_v2.1064.tif,Labels_v2.1064.tif
5702,Features_v2.382.tif,Labels_v2.382.tif
2515,Features.1009.tif,Labels.1009.tif
3887,Features_v2.147.tif,Labels_v2.147.tif
2130,Features.112.tif,Labels.112.tif
5210,Features_v2.353.tif,Labels_v2.353.tif
3877,Features_v2.16.tif,Labels_v2.16.tif
6521,Features_v2.753.tif,Labels_v2.753.tif
6592,Features_v2.691.tif,Labels_v2.691.tif
4797,Features_v2.583.tif,Labels_v2.583.tif
6250,Features_v2.605.tif,Labels_v2.605.tif
4382,Features_v2.614.tif,Labels_v2.614.tif
5412,Features_v2.1032.tif,Labels_v2.1032.tif
4440,Features_v2.450.tif,Labels_v2.450.tif
3237,Features.392.tif,Labels.392.tif
924,Features.352.tif,Labels.352.tif
3392,Features.263.tif,Labels.263.tif
5039,Features_v2.977.tif,Labels_v2.977.tif
2444,Features.309.tif,Labels.309.tif
706,Features.134.tif,Labels.134.tif
2041,Features.1096.tif,Labels.1096.tif
2434,Features.731.tif,Labels.731.tif
4801,Features_v2.487.tif,Labels_v2.487.tif
112,Features.1036.tif,Labels.1036.tif
1585,Features.40.tif,Labels.40.tif
1295,Features.404.tif,Labels.404.tif
4253,Features_v2.1012.tif,Labels_v2.1012.tif
1154,Features.735.tif,Labels.735.tif
129,Features.220.tif,Labels.220.tif
5998,Features_v2.858.tif,Labels_v2.858.tif
2302,Features.395.tif,Labels.395.tif
3583,Features_v2.189.tif,Labels_v2.189.tif
150,Features.123.tif,Labels.123.tif
5001,Features_v2.346.tif,Labels_v2.346.tif
5283,Features_v2.308.tif,Labels_v2.308.tif
2755,Features.57.tif,Labels.57.tif
513,Features.1078.tif,Labels.1078.tif
540,Features.337.tif,Labels.337.tif
475,Features.47.tif,Labels.47.tif
496,Features.1021.tif,Labels.1021.tif
869,Features.504.tif,Labels.504.tif
1143,Features.975.tif,Labels.975.tif
411,Features.799.tif,Labels.799.tif
5473,Features_v2.506.tif,Labels_v2.506.tif
202,Features.204.tif,Labels.204.tif
384,Features.653.tif,Labels.653.tif
6219,Features_v2.433.tif,Labels_v2.433.tif
4717,Features_v2.43.tif,Labels_v2.43.tif
3939,Features_v2.226.tif,Labels_v2.226.tif
758,Features.412.tif,Labels.412.tif
1337,Features.150.tif,Labels.150.tif
6239,Features_v2.617.tif,Labels_v2.617.tif
6363,Features_v2.24.tif,Labels_v2.24.tif
4966,Features_v2.930.tif,Labels_v2.930.tif
6315,Features_v2.744.tif,Labels_v2.744.tif
2480,Features.1093.tif,Labels.1093.tif
2294,Features.307.tif,Labels.307.tif
4713,Features_v2.195.tif,Labels_v2.195.tif
1980,Features.231.tif,Labels.231.tif
883,Features.989.tif,Labels.989.tif
5755,Features_v2.49.tif,Labels_v2.49.tif
6160,Features_v2.427.tif,Labels_v2.427.tif
1374,Features.852.tif,Labels.852.tif
4355,Features_v2.1070.tif,Labels_v2.1070.tif
1332,Features.914.tif,Labels.914.tif
1914,Features.102.tif,Labels.102.tif
1448,Features.726.tif,Labels.726.tif
4999,Features_v2.569.tif,Labels_v2.569.tif
2416,Features.650.tif,Labels.650.tif
6390,Features_v2.201.tif,Labels_v2.201.tif
4001,Features_v2.715.tif,Labels_v2.715.tif
3909,Features_v2.821.tif,Labels_v2.821.tif
4173,Features_v2.337.tif,Labels_v2.337.tif
4074,Features_v2.88.tif,Labels_v2.88.tif
106,Features.523.tif,Labels.523.tif
5137,Features_v2.662.tif,Labels_v2.662.tif
568,Features.1090.tif,Labels.1090.tif
4289,Features_v2.1039.tif,Labels_v2.1039.tif
4458,Features_v2.964.tif,Labels_v2.964.tif
4096,Features_v2.200.tif,Labels_v2.200.tif
4069,Features_v2.174.tif,Labels_v2.174.tif
4955,Features_v2.744.tif,Labels_v2.744.tif
826,Features.1097.tif,Labels.1097.tif
4103,Features_v2.262.tif,Labels_v2.262.tif
3297,Features.586.tif,Labels.586.tif
3591,Features_v2.539.tif,Labels_v2.539.tif
3693,Features_v2.691.tif,Labels_v2.691.tif
5234,Features_v2.525.tif,Labels_v2.525.tif
3245,Features.140.tif,Labels.140.tif
5770,Features_v2.663.tif,Labels_v2.663.tif
802,Features.918.tif,Labels.918.tif
5891,Features_v2.110.tif,Labels_v2.110.tif
3550,Features_v2.111.tif,Labels_v2.111.tif
2791,Features.1309.tif,Labels.1309.tif
6207,Features_v2.829.tif,Labels_v2.829.tif
1927,Features.893.tif,Labels.893.tif
5190,Features_v2.64.tif,Labels_v2.64.tif
3612,Features_v2.246.tif,Labels_v2.246.tif
2576,Features.576.tif,Labels.576.tif
4056,Features_v2.534.tif,Labels_v2.534.tif
159,Features.669.tif,Labels.669.tif
2286,Features.1254.tif,Labels.1254.tif
2860,Features.394.tif,Labels.394.tif
928,Features.270.tif,Labels.270.tif
1983,Features.290.tif,Labels.290.tif
4793,Features_v2.838.tif,Labels_v2.838.tif
5043,Features_v2.392.tif,Labels_v2.392.tif
1933,Features.564.tif,Labels.564.tif
4627,Features_v2.641.tif,Labels_v2.641.tif
4061,Features_v2.1034.tif,Labels_v2.1034.tif
1735,Features.479.tif,Labels.479.tif
6121,Features_v2.882.tif,Labels_v2.882.tif
301,Features.717.tif,Labels.717.tif
5764,Features_v2.1009.tif,Labels_v2.1009.tif
2904,Features.817.tif,Labels.817.tif
4451,Features_v2.888.tif,Labels_v2.888.tif
1417,Features.36.tif,Labels.36.tif
1078,Features.475.tif,Labels.475.tif
6510,Features_v2.408.tif,Labels_v2.408.tif
1557,Features.975.tif,Labels.975.tif
5909,Features_v2.660.tif,Labels_v2.660.tif
5316,Features_v2.103.tif,Labels_v2.103.tif
2581,Features.996.tif,Labels.996.tif
120,Features.763.tif,Labels.763.tif
1530,Features.1044.tif,Labels.1044.tif
5596,Features_v2.360.tif,Labels_v2.360.tif
335,Features.847.tif,Labels.847.tif
1663,Features.1046.tif,Labels.1046.tif
3643,Features_v2.817.tif,Labels_v2.817.tif
6143,Features_v2.1069.tif,Labels_v2.1069.tif
